,returnPeriodBankfullQ,meanAnIndFloodDuration,cvAnIndFloodDuration,meanAnIndOverbankFloodDuration,returnPeriodIndBankfullQ,meanAnFloodDuration,cvFloodDuration,meanAnOverbankFloodDuration,meanAnOverbankFloodVolRelBankfull,bankfullQ,meanQ,YearEvent1,YearEvent2,YearEvent5,YearEvent10,YearEvent15,YearEvent20,meanAnDailyQ,medQ,specificMeanQ,specificMedQ,cvMeanQ,skewnessQ,meanQ01,meanQ02,meanQ03,meanQ04,meanQ05,meanQ06,meanQ07,meanQ08,meanQ09,meanQ10,meanQ11,meanQ12,cvQ01,cvQ02,cvQ03,cvQ04,cvQ05,cvQ06,cvQ07,cvQ08,cvQ09,cvQ10,cvQ11,cvQ12,seasonMeanQ1,seasonMeanQ2,seasonMeanQ3,seasonMeanQ4,seasonCvQ1,seasonCvQ2,seasonCvQ3,seasonCvQ4,specificAnMeanQ,CvAnQ,skewnwssAnQ,specificAnMedQ,medAnMinQ,exceedQ75.,exceedQ90.,exceedQ99.,specificMeanAnMin,medAnMaxQrelativeToMeanAnDailyQ,exceedQ1.,exceedQ10.,exceedQ25.,specificMeanAnMax,volHighQ1x,volHighQ3x,volHighQ7x,ARI1,ARI2,ARI3,ARI4,ARI5,ARI6,skewAnMaxQ,meanAnSpell75.Exceed,meanAnSpell90.Exceed,meanAnSpell99.Exceed,cvAnSpell75.Exceed,cvAnSpell90.Exceed,cvAnSpell99.Exceed,meanAnSpell25.Exceed,meanAnSpell10.Exceed,meanAnSpell1.Exceed,cvAnSpell25.Exceed,cvAnSpell10.Exceed,cvAnSpell1.Exceed,meanAnSpell3x,meanAnSpell7x,meanAnMinMov1,cvAnMinMov1,meanAnMinMov3,cvAnMinMov3,meanAnMinMov7,cvAnMinMov7,meanAnMinMov30,cvAnMinMov30,meanAnMinMov90,cvAnMinMov90,lowQDuration75,lowQDuration90,lowQDuration99,CVlowQDuration75,CVlowQDuration90,CVlowQDuration99,meanAnZeroFlowDays,cvAnZeroFlowDays,meanAnMaxMov1,cvAnMaxMov1,meanAnMaxMov3,cvAnMaxMov3,meanAnMaxMov7,cvAnMaxMov7,meanAnMaxMov30,cvAnMaxMov30,meanAnMaxMov90,cvAnMaxMov90,highQduration25,highQduration10,highQduration01,cvHighQduration25,cvHighQduration10,cvHighQduration01,predictabilityMeanQ,constancyMeanQ,seasonalityMeanQ,perenniality,JDayAnMin,sdJDayAnMin,predictabilityMinQ,seasonalityMinQ,JDayAnMax,sdJDayAnMax,predictabilityMaxQ,seasonalityMaxQ,riseRate,cvRise,fallRate,cvFall,revPerYear,cvRev,catchmentArea
8020010,1.58,0.004325804,0.614429187,0.396847285,2.466159359,0.004235479,0.528917163,0.396847285,152.8922514,224.3588274,4.411575957,137.2998259,277.3149406,539.1863446,687.1555126,740.922554,765.3311718,4.412033966,0.00573514,5.12E-05,6.65E-08,5.762400537,22.63104916,16.24059151,19.39747158,9.937108409,1.39362934,0.690259302,0.383300435,0.271269095,0.11167504,0.138442816,0.362256639,1.16836972,3.709926461,3.479868732,2.343035218,4.238698665,3.963274199,8.998585303,6.527847287,8.085086184,10.28829815,10.10649854,5.01823848,3.407086684,3.52870704,2.929506466,0.914730982,0.057581417,0.125629352,3.326531225,6.261376579,7.989347051,4.837443896,0.018687404,0.758111806,1.711339539,0.016059333,0,0,0,0,0,24.81427502,78.08122598,7.112684848,1.002083324,0.002532175,338.5308638,336.5308638,332.5308638,71.12722495,131.5984304,374.7834269,668.4263579,740.922554,765.3311718,2.274631111,143.2857143,143.2857143,143.2857143,0.255135075,0.255135075,0.255135075,91.30952381,36.52380952,3.658730159,0.289893613,0.536521287,1.118225075,24.51587302,12.67460317,0,0,0,0,0,0,0.00017968,2.977565702,0.011331526,2.190326285,7.099551474,7.099551474,7.099551474,0.317710603,0.317710603,0.317710603,143.2857143,0.255135075,218.3306159,1.24674777,144.7605542,1.108312291,95.18536062,0.973435295,40.01534473,0.8002262,19.75841321,0.621872196,6.06934512,9.244814719,3.661458333,0.448475067,0.896864424,0.498826471,0.723869778,0.626609061,0.134362173,3.733163956,221,139.9210378,0.957575457,0.016902678,51,34.18205228,0.483004325,0.335762814,5.190787692,5.839231261,2.438830745,8.587372666,108.2857143,0.126324121,86222.55012
8020020,1.58,0.003932549,0.459541261,0.436532013,2.245966559,0.004094101,0.460302165,0.436532013,46.26803355,64.5747755,0.646257362,32.96959256,76.96429467,146.1998681,225.0072196,252.2491559,262.3707711,0.646297814,0,2.20E-05,0,10.88466645,32.38318822,2.326029926,2.763879641,1.734067442,0.227462412,0.063460161,0.043424554,0.037992352,0.019124432,0.009084754,0.0337108,0.150254098,0.465754788,6.655133377,4.870039803,7.194669876,9.00439206,7.332112581,9.024746299,9.472671877,12.64781425,19.18631297,7.751401999,15.03448689,3.326418393,2.822366178,1.05199757,0.051691563,0.099052165,6.505851435,10.85360676,10.08612596,20.48215207,0.008029779,1.078837217,2.149274384,0.004255854,0,0,0,0,0,22.50578634,9.059743052,0.720740018,0.030193386,0.002049998,716.7883083,714.7883083,710.7883083,9.248460403,30.43151094,125.3256283,214.9919436,248.1199891,256.4749311,2.273014803,227.031746,227.031746,227.031746,0.180283054,0.180283054,0.180283054,91.30952381,36.52380952,3.658730159,0.274871164,0.447975375,1.297346633,17.71428571,6.952380952,0,0,0,0,0,0,1.21E-06,6.596188318,0.001997926,2.547789864,8.947131812,8.947131812,8.947131812,0.306680204,0.306680204,0.306680204,227.031746,0.180283054,60.26031592,1.489428376,32.91905515,1.404878811,18.06260901,1.3006738,6.371454818,1.19495788,3.043610058,0.949909144,4.019910021,2.620576543,3.098166023,0.453708319,0.465693047,0.573484436,0.758851917,0.658781588,0.131870693,2.693720702,263,248.0367036,0.992345813,0.00254717,69,50.29279351,0.465968321,0.343407646,1.916965681,6.721556343,1.208355606,7.812689483,91.95238095,0.166846078,29395.30571
8020030,1.58,0.014419347,0.504744355,0.119054185,7.860882957,0.014080375,0.505078671,0.119054185,1649.992783,7616.758214,206.2223893,6528.130459,8177.470183,10791.19932,13305.90332,14280.94316,14735.67178,206.2374939,12.8597592,2.69E-05,1.68E-06,3.557233087,8.521945023,566.6900692,906.0062868,611.2842533,144.0697982,51.13697415,29.54793478,16.02616042,7.292640889,4.393613747,10.09629378,27.97206509,142.5342054,2.204792138,1.611714828,2.023813408,2.523435998,3.155028165,3.97679092,4.734985604,4.416590826,8.611905421,5.153915794,4.116418031,2.531697555,2.556265721,1.310170227,0.08482405,0.068418375,2.199425686,2.9331261,4.739808934,5.427450453,0.009829183,0.79636845,1.769000855,0.007868719,0.000169349,1.254542957,0.18918309,0.012066273,2.25E-08,12.61727278,3475.109827,419.4178726,98.35742309,0.000477877,80.90592242,78.90592242,74.90592242,2203.713169,3674.421269,6273.942491,8342.197285,9571.085909,10248.44171,1.7290593,91.30952381,36.52380952,3.658730159,0.479813025,0.825640071,2.349947965,91.30952381,36.52380952,3.658730159,0.332525345,0.630841482,1.652677727,27.49206349,12.54761905,0.172659456,2.420380401,0.186302288,2.297128285,0.212896101,2.160102394,0.495727983,2.130410614,1.954060578,2.495185263,15.17750647,11.85860629,6.19,0.440383295,0.678669016,0.621344844,0.007936508,11.22497216,3661.933737,0.878165133,3486.739536,0.902543724,3081.480403,0.915078175,1594.032132,0.868925082,865.4119439,0.71475579,15.41678162,14.33737902,7.776595745,0.790045804,0.963043774,0.50906162,0.712692046,0.588885959,0.173716106,3.841298304,249,54.31982011,0.895811553,0.050041808,56,32.50824071,0.552335657,0.301922597,67.25847512,2.933886921,28.32734601,3.76076662,94.68253968,0.153021069,7662922.774
8020031,1.58,0.005407255,0.941948729,0.317477828,3.067661642,0.004893515,0.804811562,0.317477828,65.76779101,291.3417245,11.8274134,266.3849201,310.0678327,389.5167347,472.7137683,516.7854903,572.7534011,11.82858485,0.365992581,5.64E-05,1.75E-06,2.891972291,6.674968158,33.60229996,46.58401949,31.95259539,9.992483217,4.071190321,2.041284946,1.239306835,0.487670409,0.205004085,0.815752161,2.177233732,10.79562952,1.769667687,1.395744541,1.399480083,2.044093691,3.492880472,4.145155896,5.730466499,5.306282321,11.12880705,6.895181854,5.167928696,2.602225248,2.522085657,1.30179503,0.105479753,0.089896809,1.843950563,2.077258186,5.25563943,6.968337576,0.020616067,0.726426872,1.610667971,0.016712984,0,0.003568967,0,0,1.60E-09,15.67744444,171.5473225,32.19321083,6.7229116,0.001053713,92.91370716,90.91370716,86.91370716,164.3605363,240.7551531,332.1582963,408.7475486,470.6323236,488.9394754,2.342867918,91.30952381,42.3968254,42.3968254,0.456324431,0.75033843,0.75033843,91.30952381,36.52380952,3.658730159,0.377670209,0.681950143,1.710255647,33.32539683,13.38095238,0.000335627,6.484629748,0.000404716,5.763482387,0.000703309,4.210733964,0.007494654,2.900033965,0.082524763,2.370544607,8.039301746,5.128451363,5.128451363,0.502832313,0.538389569,0.538389569,42.3968254,0.75033843,220.7914518,0.721312211,168.0119342,0.760981662,133.03202,0.735702339,79.19784326,0.736172128,48.51301517,0.667952658,8.824955394,7.345508372,3.149693878,0.67234572,1.256881244,0.867782996,0.689615722,0.566378832,0.178703713,4.896736425,249,142.1577483,0.875801777,0.055855737,53,39.14553635,0.494044589,0.349851469,11.78444871,2.295276988,2.975442264,3.452840797,93.68253968,0.155986669,209536.6632
8020032,1.58,0.00617972,0.769939337,0.277793099,3.493725759,0.006293254,0.637499898,0.269856154,13.95728604,64.90699122,2.746674173,58.36349742,69.38087002,88.07079032,102.9593303,115.3624951,126.4529155,2.746894845,0.084920945,6.45E-05,1.99E-06,2.774965092,6.168602183,7.825853112,10.95251103,7.388603351,2.270169913,0.820532002,0.491740177,0.292350922,0.11005912,0.06040386,0.209220946,0.562128983,2.462371056,1.621672896,1.352071466,1.314075135,2.012081115,3.401905359,4.102932413,5.611994624,5.265448928,11.24297989,6.744839187,5.733970107,2.347896234,2.534602477,1.276596448,0.107746579,0.100668539,1.745168214,2.000312753,5.203341663,7.498235557,0.023560882,0.684518948,1.548296907,0.02101178,0,0.000601318,0,0,2.31E-09,14.35495467,38.38280729,7.679167055,1.678947098,0.001127036,82.78996441,80.78996441,76.78996441,37.84310997,52.40039213,71.9700537,92.15685765,101.8393783,111.6890312,2.163399115,91.30952381,48.07142857,48.07142857,0.473814131,0.711989396,0.711989396,91.30952381,36.52380952,3.658730159,0.371760143,0.670438401,1.722789432,34.3968254,13.26190476,9.83E-05,8.285386498,0.000118785,7.328191676,0.000192686,5.336544801,0.001617183,2.523517568,0.018576706,2.826765351,8.075868937,5.487080832,5.487080832,0.50668695,0.591388974,0.591388974,48.07142857,0.711989396,47.98766479,0.714028402,37.06665007,0.739436783,29.64168401,0.716084825,17.93265498,0.705549151,11.11466287,0.618503851,9.495047722,8.200239917,3.366708126,0.758212063,1.337736123,1.065185865,0.693746047,0.565680977,0.18459935,5.222216028,249,153.0198141,0.875035399,0.058004286,53,43.35201063,0.499961138,0.356162428,2.982421327,2.066931602,0.67825796,3.403628773,87.3015873,0.18475735,42578.62928
8020040,1.58,0.005407255,0.493008819,0.317477828,3.067661642,0.005063552,0.440467894,0.317477828,21.09477474,58.13331047,0.56439425,44.3788657,61.44287366,91.01273405,109.0873982,116.8358141,121.0315838,0.56453623,0,7.77E-06,0,9.804129574,35.15100743,2.331609721,2.959704519,1.19352492,0.131153166,0.043365042,0.007972742,0.003958667,0.002097834,0.000968578,0.005739187,0.048502479,0.190799914,4.316860088,5.063163226,5.063923012,12.82144808,22.83571684,9.101559903,13.05791446,9.902035819,21.82464322,7.307027827,18.08691201,8.797984855,3.176350968,0.814227777,0.00822224,0.032360797,5.78170007,8.093651133,11.33789178,27.64093146,0.002838545,1.391859452,2.678122471,0.001206706,0,0,0,0,0,32.59359891,16.16069123,0.152366279,0.004630605,0.000524204,926.5210019,924.5210019,920.5210019,11.52502204,35.43593676,65.52719472,95.79902879,110.9812288,117.6082231,4.878338331,245.515873,245.515873,245.515873,0.085309264,0.085309264,0.085309264,91.30952381,36.52380952,3.658730159,0.217229322,0.466996128,1.393728028,10.49206349,8.126984127,0,0,0,0,0,0,0,0,0.000307704,2.464850116,8.750543158,8.750543158,8.750543158,0.254585668,0.254585668,0.254585668,245.515873,0.085309264,38.06823768,1.715282411,27.95642792,1.335237154,17.23504975,1.268907412,6.071053294,1.382169044,3.08083538,1.104127133,3.562608433,2.896879831,3.753482587,0.359516247,0.639853285,0.506606285,0.855676964,0.806510266,0.057459414,0.959657876,249,240.3406973,0.992879167,0.002843233,53,35.17755417,0.641141898,0.207219656,0.895501089,8.196333617,0.77279446,7.87902852,94.26984127,0.16268114,72621.10072
8020050,1.58,0.00772465,0.501737266,0.222234479,4.337038873,0.007601138,0.454117036,0.222234479,184.9005124,402.2151453,6.354011263,293.3525817,450.7989592,707.9403819,876.4868496,1197.4198,1364.090248,6.354436061,0,6.73E-06,0,6.353596274,23.33107146,19.81607647,28.62026683,15.71959948,3.783580652,1.385650481,1.005916709,0.670329854,0.332584227,0.156700806,0.23969237,0.791755503,5.074987764,4.451928249,2.805368307,3.808516195,5.776969168,6.403421524,9.100380783,9.035158845,12.86770515,23.93375224,11.19528206,9.929078871,3.150310523,2.755278685,1.101273124,0.104808558,0.062060222,3.986736582,5.403031928,10.1760224,13.30781616,0.002457182,1.128608554,2.400733981,0.001432883,0,0,0,0,0,22.2223581,128.3792588,8.170615688,0,0.000269819,437.7544656,435.7544656,431.7544656,110.8391306,188.179248,415.4350827,718.7693001,868.143745,885.1001858,4.043067368,280.1428571,280.1428571,280.1428571,0.131536588,0.131536588,0.131536588,85.0952381,36.52380952,3.658730159,0.432769284,0.630632305,1.441782391,23.91269841,12.5952381,0,0,0,0,0,0,0,0,0.002257263,6.621375454,27.26750776,27.26750776,27.26750776,0.510611043,0.510611043,0.510611043,280.1428571,0.131536588,254.834802,1.407572697,211.4391671,1.322461611,141.1667513,1.198552386,56.86478586,1.198995838,28.21585533,1.02209064,8.266712074,7.713866843,4.306716418,0.737215481,0.592720394,0.617789719,0.711524097,0.626646868,0.119289324,4.18627403,242,235.2438114,0.96020396,0.012974321,53,47.38595331,0.524905022,0.248716855,15.84690417,3.536237803,7.685854336,3.716015779,38.33333333,0.287969753,944466.8823
8020060,1.58,0.012722954,0.515677156,0.134928077,6.987451517,0.012502852,0.498087801,0.134928077,1712.041795,6802.839332,157.9222319,5770.608063,7558.442012,10593.07895,12039.67998,13329.93641,14037.05577,157.9340808,7.943817473,2.42E-05,1.22E-06,4.070106961,9.671730454,450.5836991,725.4063676,465.9870334,94.92664322,28.15084607,17.91418435,10.1751381,4.358954761,3.328597886,6.357542978,21.35232335,101.1438374,2.475022855,1.840342471,2.323037383,3.053210378,3.694628805,4.781900033,5.547466077,5.485334344,10.42660492,4.929783072,4.768218267,2.935932683,2.637618348,1.250345306,0.06800144,0.065236691,2.494335165,3.44677245,5.655890048,6.297945902,0.008835882,0.857527514,1.872674279,0.00702543,0.000195693,0.819595478,0.138888697,0.010279166,1.98E-08,14.27020386,2955.320731,286.5789953,54.31607261,0.000514165,100.6726691,98.67266912,94.67266912,1798.5793,3154.380068,5726.947282,8061.219508,8692.110228,9878.475426,1.735476339,91.30952381,36.52380952,3.658730159,0.477296682,0.862243099,2.491891838,91.30952381,36.52380952,3.658730159,0.343301508,0.614594923,1.580591556,25.50793651,12.53174603,0.129270268,2.384931895,0.149829656,2.405484958,0.176722886,2.286365552,0.355451701,1.978747932,1.068826312,2.095257625,22.61113336,13.41014851,6.506321839,0.544197802,0.602138355,0.562436141,0.007936508,11.22497216,3356.389298,0.937158377,3203.302207,0.939722767,2744.180221,0.95379407,1307.999092,0.923234757,686.4984945,0.743879818,29.90207304,17.32281421,7.343333333,0.724650253,0.72646265,0.487179328,0.724034149,0.60657361,0.162230662,3.338280302,249,59.41687538,0.920156512,0.037969199,56,34.71631061,0.586673769,0.245372219,49.99601862,3.769652795,20.52143323,4.976666135,55.23809524,0.173512705,6527838.897
8020061,1.58,0.009403922,0.39086151,0.182549751,5.240588638,0.009734581,0.331771826,0.182549751,23.33000157,51.22018151,0.491595587,36.44566167,58.17752488,89.64351643,122.3634147,137.3334207,141.5554617,0.491638333,0,1.11E-05,0,9.522309241,21.12904478,1.909759089,1.859523195,1.286410917,0.265972209,0.088308115,0.026848924,0.023125623,0.002866777,0.001122243,0.031428967,0.044738453,0.428409797,5.702567288,3.880424816,6.166453523,9.234108399,14.1599656,12.51776001,21.26243797,9.917288712,17.76592455,16.70429097,19.21561499,8.938944881,2.817646502,1.118705347,0.03562561,0.052533998,5.709525578,8.903211098,19.66935485,22.50967028,0.004069321,1.514603453,2.903693188,0.002012213,0,0,0,0,0,32.71398008,12.71342856,0.124597885,0.002631279,0.000613927,444.5460744,442.5460744,438.5460744,8.935950288,20.88927795,47.16554567,83.04511854,109.6378638,127.7843025,2.865848827,249.0873016,249.0873016,249.0873016,0.087773316,0.087773316,0.087773316,91.30952381,36.52380952,3.658730159,0.233649951,0.472726915,1.489088854,11.34126984,8.484126984,0,0,0,0,0,0,1.23E-06,11.11998691,0.000289953,2.898258159,8.121161053,8.121161053,8.121161053,0.247982683,0.247982683,0.247982683,249.0873016,0.087773316,27.08811421,1.471532919,23.0134776,1.471687886,15.71240065,1.461812448,5.612311441,1.399893747,2.631046042,1.217494365,3.655242149,3.169504426,4.20952381,0.427131632,0.55892273,0.610535243,0.825163772,0.777955555,0.057210724,2.206273136,253,245.0425619,0.996782726,0.000993414,25,46.39333217,0.618084733,0.181240857,0.647849541,6.276780157,0.516757923,4.781860685,92.76190476,0.157267679,44122.69703
8020062,1.58,0.00772465,0.546137841,0.222234479,4.337038873,0.00742642,0.540959653,0.222234479,240.4674157,609.6736841,8.815736811,505.225975,654.8487642,1013.037409,1379.168924,1548.032207,1619.81566,8.816420381,0,7.72E-06,0,6.516629017,19.95029762,28.08000577,39.0021843,23.10075482,5.24556049,1.7201492,1.141133222,0.759006966,0.360117762,0.160898755,0.274938762,1.02104158,6.719107517,4.531680773,2.802191275,3.886562424,5.452058969,6.547861457,8.329439937,9.208777224,11.49397934,22.1997433,10.22197654,12.06050238,3.797214297,2.740512863,1.142737647,0.084984959,0.054823678,4.076821517,5.538774093,9.605270545,15.62418654,0.002820092,1.16743809,2.409389795,0.001577302,0,0,0,0,0,20.36004614,184.0507314,9.713854051,0.429709056,0.000285678,384.975313,382.975313,378.975313,133.2406348,262.3812733,615.6389855,901.4666248,1126.416115,1206.71854,3.753233827,222.6587302,222.6587302,222.6587302,0.148349981,0.148349981,0.148349981,91.30952381,36.52380952,3.658730159,0.38169601,0.63638787,1.501478739,21.42857143,11.44444444,0,0,0,0,0,0,1.23E-07,11.22497216,0.004662784,5.655810994,12.36565025,12.36565025,12.36565025,0.33265014,0.33265014,0.33265014,222.6587302,0.148349981,326.1729417,1.377670849,290.2460842,1.335430802,206.2653278,1.247210998,82.41061137,1.223471419,40.65812451,1.034930192,10.99543418,10.2659486,5.005376344,0.661834869,0.665725428,0.578773986,0.723820558,0.643503019,0.11096333,3.506636122,249,227.7660489,0.959841084,0.014896648,54,48.49734079,0.558716779,0.208274277,8.545458947,4.700403684,5.958787212,4.519080754,63.20634921,0.188183844,1141750.98
